Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
37330,Hijos de la medianoche,Salman Rushdie,"Rushdie, Salman",Miguel Sáenz,"=""8497934326""","=""9788497934329""",4,DeBolsillo,Mass Market Paperback,798,2005,1981,2021/10/29,2021/06/24,,,read,,,,1,0
62779,Nada,Carmen Laforet,"Laforet, Carmen",,"=""1843433028""","=""9781843433026""",4,Harvill Secker,Hardcover,244,2007,1944,,2025/08/12,,,read,,,,1,0
18634774,Crimen y castigo 1,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Fiódor Dostoyevski,"=""8420636207""","=""9788420636207""",4,Alianza Editorial,Paperback,360,2006,1866,2026/06/03,2025/12/09,,,read,,,,1,0
1536736,El tambor de hojalata,Günter Grass,"Grass, Günter",,"=""9707311274""","=""9789707311275""",4,Punto De Lectura,Paperback,791,2009,1959,,2026/05/27,,,read,,,,1,0
3853137,La insoportable levedad del ser,Milan Kundera,"Kundera, Milan",Fernando Valenzuela,"=""8483835126""","=""9788483835128""",4,MaxiTusquets,Mass Market Paperback,336,2008,1984,,2021/03/16,,,read,,,,1,0
2517,My Name Is Red,Orhan Pamuk,"Pamuk, Orhan",Erdağ M. Göknar,"=""""","=""""",0,Vintage,Paperback,417,2002,1998,,2025/12/09,to-read,to-read (#49),to-read,,,,0,0
70666,Las ciudades invisibles,Italo Calvino,"Calvino, Italo","Aurora Bernárdez, César Palma","=""8478444157""","=""9788478444151""",0,Siruela,Paperback,172,2015,1972,,2025/12/09,to-read,to-read (#48),to-read,,,,0,0
636383,La montaña mágica,Thomas Mann,"Mann, Thomas",,"=""8435016269""","=""9788435016261""",0,Edhasa,Paperback,974,2005,1924,,2025/12/09,to-read,to-read (#47),to-read,,,,0,0
10425028,La fórmula preferida del profesor,Yōko Ogawa,"Ogawa, Yōko","Yoshiko Sugiyama, Héctor Jiménez Ferrer","=""8496601374""","=""9788496601376""",0,Funambulista,Paperback,302,2008,2005,,2025/12/09,to-read,to-read (#46),to-read,,,,0,0
3392482,Crónica del pájaro que da cuerda al mundo,Haruki Murakami,"Murakami, Haruki","Junichi Matsuura, Lourdes Porta Fuentes","=""848383510X""","=""9788483835104""",0,Tusquets Editores S.A.,Paperback,912,2001,1994,,2025/12/09,to-read,to-read (#45),to-read,,,,0,0
242858125,Huelvalogía: La Historia como nunca te la contaron,Luis Alfonso Morales Mateo,"Mateo, Luis Alfonso Morales",,"=""8412989732""","=""9788412989731""",4,Editorial Niebla,Paperback,284,2025,,2025/11/15,2025/11/15,,,read,"Muy buen libro introductorio sobre la historia de Huelva capital. Pasa por alto algunos detalles relevantes sobre el resto de la provincia, por ejemplo, cita el muelle de Tarsis como anterior al muelle del Tinto pero no entra en detalles sobre este, o no menciona la importancia de la mina del Buitrón como primera fuente de abastecimiento a la vía férrea que terminaba en el puerto. Transmite algunas opiniones personales en el libro pero en general es bastante objetivo. Lo recomiendo totalmente para los amantes de la historia en general y los onubenses o allegados que quieran conocer su historia con una lectura fácil.",,,1,0
825419,Arabian Sands,Wilfred Thesiger,"Thesiger, Wilfred",,"=""""","=""""",0,Penguin,Paperback,347,1984,1959,,2025/02/13,to-read,to-read (#44),to-read,,,,0,0
1310812,El corazón helado,Almudena Grandes,"Grandes, Almudena",,"=""8483103737""","=""9788483103739""",0,Tusquets Editores S.A.,Paperback,933,2007,2007,,2025/01/01,to-read,to-read (#43),to-read,,,,0,0
2539,Ensayo sobre la lucidez,José Saramago,"Saramago, José",Pilar del Río,"=""8466314741""","=""9788466314749""",0,Punto De Lectura,Paperback,464,2005,2004,,2020/10/13,to-read,to-read (#30),to-read,,,,0,0
56799802,The Pragmatic Programmer,Andy   Hunt,"Hunt, Andy",Dave         Thomas,"=""""","=""""",0,David Thomas,Audiobook,,2019,1999,,2021/06/24,currently-reading,currently-reading (#3),currently-reading,,,,1,0
53968432,In.,Will McPhail,"McPhail, Will",,"=""0358345545""","=""9780358345541""",0,Houghton Mifflin Harcourt,Hardcover,267,2021,2021,,2024/09/01,to-read,to-read (#42),to-read,,,,0,0
